lid,oid,primary_loc,location_name,comments,address,address2,city,state,zipcode,county,country,match_addr,side,ref_id,geographic_location
2097,11032,f,TruMark Financial Credit Union 10,\N,875 Easton Road,,Warrington,PA,18976,\N,USA,\N,\N,\N,0101000020E6100000282CF180B2C852C0EB71DF6A9D1E4440
2114,11037,f,Rachelle+924:926,\N,2300 South 2nd Street,,Philadelphia,PA,19148,\N,USA,\N,\N,\N,0101000020E61000003F1D8F19A8C952C09544F64196F54340
2171,11064,t,19th Street Baptist Community Development Corporation,\N,1253 South 19th Street,,Philadelphia,PA,19146,\N,USA,\N,\N,\N,0101000020E610000006685BCD3ACB52C0342BDB87BCF74340
2172,11065,t,ACHIEVEability,\N,21 South 61st Street,,Philadelphia,PA,19139,\N,USA,\N,\N,\N,0101000020E610000091B8C7D287CF52C04EF1B8A816FB4340
2173,11066,t,Advocate Community Development Corporation,\N,1808 West Diamond Street,,Philadelphia,PA,19121,\N,USA,\N,\N,\N,0101000020E61000001898158A74CA52C09CC58B8521FE4340
2190,11082,t,"GHETTO, Inc",\N,n/a,,,,,\N,USA,\N,\N,\N,\N
86291,72820,t,Partner Colorado CU - Arvada Branch,\N,6221 Sheridan Blvd,\N,Arvada,CO,80003,Jefferson,USA,\N,\N,\N,0101000020E61000007638BA4A77435AC0BF45274BADE74340
2257,11145,f,Ten Thousand Villages,\N,,,,,,\N,USA,\N,\N,\N,\N
2261,11149,t,Manayunk-Roxborough Food Co-op,\N,N/A,,,,,\N,USA,\N,\N,\N,\N
2262,11150,t,Philadelphia League of Cooperative Brewers,\N,N/A,,,,,\N,USA,\N,\N,\N,\N
2263,11151,t,Philadelphia Service Cooperative,\N,N/A,,,,,\N,USA,\N,\N,\N,\N
2264,11152,t,Rad-Dish Cooperative Cafe and Grocer,\N,N/A,,,,,\N,USA,\N,\N,\N,\N
2266,11154,t,Bethlehem Food Cooperative,\N,N/A,,,,,\N,USA,\N,\N,\N,\N
2267,11155,t,Alliance Taxi Co-op,\N,N/A,,,,,\N,USA,\N,\N,\N,\N
2268,11156,t,Collingswood Co-op,\N,N/A,,,,,\N,USA,\N,\N,\N,\N
2269,11157,t,Conshohocken Co-op,\N,N/A,,,,,\N,USA,\N,\N,\N,\N
2270,11158,t,Philabucks,\N,N/A,,,,,\N,USA,\N,\N,\N,\N
2271,11159,t,Northwest Artists Collective,\N,N/A,,,,,\N,USA,\N,\N,\N,\N
2254,11145,f,Ten Thousand Villages,\N,690 West Dekalb Pike,,King of Prussia,PA,19406,\N,USA,\N,\N,\N,0101000020E6100000CB4A9352D0D852C01B118C834B0B4440
